"","Genes","L_C","L_PC","L_PI","L_HS","L_CoE","B_C","B_PC","B_PI","B_HS","B_CoE","Di_mean","Di_sd","CI_mean","CI_sd","plastic","L_N","L_NDi","B_N","B_NDi","I","na_count"
"54","FASN",0.193569961305116,0.000334400229303014,0.110160989824679,0.695934648640902,0.528920626759446,0.185305498495199,0.000334400229303014,0.124683514068695,0.689676587206803,0.554801164601382,0.820616379564846,0.302574381234132,0.998797839817793,0.0336595865130262,0.414064271609375,0.469913589945012,0.122859387274156,0.417487684729064,0,0,0
"55","FH",0.219466111138026,0,0.0416162007654668,0.738917688096507,0.545707840887674,0.206966716728841,0,0.0399205464851509,0.753112736786008,0.542353829297939,0.923281368836753,0.180345584219038,NA,NA,0.364334258795388,0.548895899053628,0.0135461124512897,0.680729984301413,0.0143249607535322,0,2
"56","FOXO1",0.150069255385203,0.0390695897215456,0.190332903472322,0.620528251420929,0.506010476817166,0.133161388928691,0.0380188183598414,0.191431437168649,0.637388355542819,0.511631671878097,0.887565108416726,0.282160286616028,0.842306139129351,0.361166598753611,0.321186612593068,0.85059786028949,0.283700440528634,0.873814541622761,0.265542676501581,0.00151038388923851,0
"57","FOXO3",0.20989010989011,0.0343526039178213,0.181939799331104,0.573817486860965,0.517275592747465,0.164166268514095,0.0338748208313426,0.146344959388438,0.655613951266125,0.520899440683613,0.866845113150014,0.307910794398774,0.865148410755236,0.338057771001574,0.367895573456056,0.245067264573991,0,0.695754716981132,0.163984461709212,0.00123318385650224,0
"58","GLS",0.254335260115607,0.00023885730664501,0.0868485166961257,0.658577365881622,0.480982198294389,0.207375913629198,0.000286628767974012,0.121530597620981,0.670806859981847,0.535463425084672,0.898939556977414,0.251664519232189,0.999008358218558,0.0314769549588236,0.412421339080647,0.784385056667133,0.248495872394011,0.50210419387607,0.0628355826440284,0,0
"59","GLUD1",0.274331136099263,0,0.0406649864288484,0.685003877471888,0.545803027412754,0.321830166731291,0,0.0395017448623497,0.638668088406359,0.521204319797012,0.679245002585947,0.344270312725941,NA,NA,0.260692031039394,0.193260501615633,0,0.124077800134138,0,0,2
"60","GPD2",0.244668476153548,0,0.0348972469949593,0.720434276851493,0.542048597392932,0.240160915083366,0,0.0316498642884839,0.72818922062815,0.508505604465037,0.709579876624063,0.319395418632485,NA,NA,0.318009164638792,0.532766990291262,0,0.721112696148359,0,0,2
"61","H6PD",0.240998303852677,0,0.0520474921250303,0.706954204022292,0.495034710293609,0.225296825781439,0,0.0502059607463048,0.724497213472256,0.486722826108342,0.835588085558621,0.257975627197988,NA,NA,0.396693987829005,0.780883082520258,0.0408467008433934,0.795954265611258,0.0515391380826737,0,2
"62","HDAC3",0.330737254527211,0.0135696879927373,0.0640737732333126,0.591619284246739,0.486362235767054,0.296765253953844,0.0131874432605476,0.0627359166706484,0.62731138611496,0.489106447336784,0.875819016777606,0.241115145631141,0.896912337754783,0.26788445483521,0.162779944840971,0.087048087048087,0,0.103461538461538,0,0.00631800631800632,0
"63","HIF1A",0.157226096093228,0.0185786608081001,0.239516668258668,0.584678574840004,0.503306672887934,0.153596332027892,0.0175756996847836,0.202693667016907,0.626134301270417,0.529098171146866,0.922201118088662,0.25241151777953,0.859343537001542,0.322823965909751,0.339224845025628,0.719871205151794,0.212396504139834,0.831119059785386,0.305697496167603,0.0047148114075437,0
"64","HRAS",0.207076012223071,0.00572956455309397,0.148920932009167,0.638273491214668,0.512363765763855,0.150210084033613,0.00639801375095493,0.195616883116883,0.647775019098549,0.497860160026868,0.964176090490163,0.177707134226057,0.966503910818618,0.172455099224397,0.372637565697132,0.764255543822598,0.334213305174234,0.76602955130812,0.144367629117527,0.00250791974656811,0
